,Name,Ranked,Score,Popularity,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,description,Theme,Themes,Genre
83,Kingdom 5th Season,84,8.61,4583,,キングダム 第5シリーズ,Kingdom,TV,Unknown,Currently Airing,"Jan 14, 2024 to ?",Winter 2024,Sundays at 00,"Avex Pictures,       Shueisha,       Jinnan Studio,       NHK Enterprises","None found, add some","Pierrot,       Studio Signpost",Manga,,Seinen,24 min.,R - 17+ (violence & profanity),Fifth season of Kingdom.,,"Historical, Military",Action
84,Kimetsu no Yaiba Movie: Mugen Ressha-hen,85,8.6,72,Gekijouban Kimetsu no Yaiba,劇場版 鬼滅の刃 無限列車編,Demon Slayer,Movie,1,Finished Airing,"Oct 16, 2020",,,"Aniplex,       Shueisha",Aniplex of America,ufotable,Manga,"Action, Fantasy",Shounen,1 hr. 56 min.,R - 17+ (violence & profanity),"After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand.Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. As things begin to spiral out of control, Tanjirou's resolve and commitment to duty are put to the test.[Written by MAL Rewrite]",Historical,,
85,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,86,8.6,283,,青春ブタ野郎はゆめみる少女の夢を見ない,Rascal Does Not Dream of a Dreaming Girl,Movie,1,Finished Airing,"Jun 15, 2019",,,"Aniplex,       Tokyo MX,       Hakuhodo DY Music & Pictures,       Nagoya Broadcasting Network,       BS11,       ABC Animation,       Kadokawa",Aniplex of America,CloverWorks,Light novel,"Drama, Romance, Supernatural",,1 hr. 30 min.,PG-13 - Teens 13 or older,"Six months ago, Sakuta Azusagawa had a chance encounter with a bunny girl in a library. Ever since then, he's been blissfully happy with his girlfriend: Mai Sakurajima, that same bunny girl. However, the reappearance of his mysterious first crush, the now-adult Shouko Makinohara, adds a new complication to his relationship with Mai. To make matters worse, he then encounters a middle school Shouko in the hospital, suffering from a grave illness. Mysteriously, his old scars begin throbbing whenever he's near her.With Shouko's bizarre situation somehow revolving around him, Sakuta will need to come to terms with his own conflicting feelings, for better or worse. With a girl's life in his hands, just what can he do?[Written by MAL Rewrite]",School,,
86,Shin Evangelion Movie: ||,87,8.6,626,Evangelion,シン・エヴァンゲリオン劇場版,Evangelion,Movie,1,Finished Airing,"Mar 8, 2021",,,"None found, add some",GKIDS,Khara,Original,"Action, Award Winning, Drama, Sci-Fi, Suspense",,2 hr. 35 min.,PG-13 - Teens 13 or older,"Following NERV's failed attempt to retrieve the Spears of Longinus and carry out the Human Instrumentality Project, the destruction caused by the Fourth Impact has been largely averted. In a state of disarray, Shinji Ikari, Asuka Langley Shikinami, and Rei Ayanami travel to Village 3—a survivor settlement free from Earth's ruination. There, Shinji slowly comes to terms with his past, developing an entirely different life from his days as an Evangelion pilot.Meanwhile, NERV makes preparations to continue the Instrumentality Project by means of a new Impact. When WILLE's main aerial battleship arrives at the village, Shinji decides to board, believing that he can help by piloting an Evangelion. As new secrets are uncovered and a battle between WILLE and NERV approaches, the future of Earth hangs in the balance. Can Shinji save humanity and the rest of the world one last time?[Written by MAL Rewrite]",,"Mecha, Psychological",
87,Suzumiya Haruhi no Shoushitsu,88,8.6,348,"The Vanishment of Haruhi Suzumiya, Suzumiya Haruhi no Syoshitsu, Haruhi Movie",涼宮ハルヒの消失,The Disappearance of Haruhi Suzumiya,Movie,1,Finished Airing,"Feb 6, 2010",,,"Kadokawa Shoten,       Animation Do","Funimation,       Bandai Entertainment",Kyoto Animation,Light novel,"Award Winning, Mystery, Sci-Fi, Supernatural",,2 hr. 41 min.,PG-13 - Teens 13 or older,"On a cold December day, Kyon arrives at school prepared for another outing with his fellow SOS Brigade members. However, much to his surprise, he discovers that almost everything has changed completely: Haruhi Suzumiya and Itsuki Koizumi are nowhere to be found; Mikuru Asahina does not recognize him at all; Yuki Nagato is a regular human; and Ryouko Asakura has mysteriously returned. Although he is no stranger to the supernatural, Kyon is disturbed by this odd turn of events and decides to investigate on his own.Finding himself to be the only person that is aware of the previous reality, Kyon is now faced with a difficult choice: to finally live the normal life he has always wanted, or uncover a way to turn back the hands of time and restore his chaotic yet familiar world.[Written by MAL Rewrite]",School,,
88,Cyberpunk: Edgerunners,89,8.6,282,,サイバーパンク エッジランナーズ,,ONA,10,Finished Airing,"Sep 13, 2022",,,CD Projekt Red,"None found, add some",Trigger,Game,"Action, Sci-Fi",,25 min. per ep.,R+ - Mild Nudity,"Dreams are doomed to die in Night City, a futuristic Californian metropolis. As a teenager living in the city's slums, David Martinez is trying to fulfill his mother's lifelong wish for him to reach the top of Arasaka, the world's leading security corporation. To this end, he attends the prestigious Arasaka Academy while his mother works tirelessly to keep their family afloat.When an incident with a street gang leaves David's life in tatters, he stumbles upon Sandevistan cyberware—a prosthetic that grants its wearer superhuman speed. Fueled by rage, David implants the device in his back, using it to exact revenge on one of his tormentors. This gets him expelled from the academy, shattering his hopes of ever making his mother proud.After witnessing David's newfound abilities, the beautiful data thief Lucyna ""Lucy"" Kushinada offers to team up with him, handing him a ticket to salvation. However, associating with Lucy introduces David to the world of Edgerunners—cyborg criminals who will break any law for money. Edgerunners often lose their lives, if the cyberware does not break their minds first; but in his fight for survival inside a corrupt system, David is ready to risk it all.[Written by MAL Rewrite]",,"Gore, Organized Crime",
89,Hajime no Ippo: Rising,90,8.6,927,Fighting Spirit,はじめの一歩 Rising,Fighting Spirit,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,Sundays at 01,"VAP,       Kodansha,       Nippon Television Network","None found, add some","Madhouse,       MAPPA",Manga,,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and right, claiming to have an answer for the move responsible for crushing his opponents. Will Ippo be able to step up to the challenge, or will the weight of his pride destroy him before he finds out just what it means to be strong? Meanwhile, fellow Kamogawa Gym mate Aoki Masaru is just a hop, skip, and a Frog Punch away from claiming his own belt, ready to take on the Japanese Lightweight Champion!Hajime no Ippo: Rising continues Ippo's quest to become stronger, featuring the same cast of loveable dimwits from Kamogawa Gym, as they put their bodies and hearts on the line to make their way in the harsh world of professional boxing. With a will of iron, Ippo steps into the ring once again.[Written by MAL Rewrite]",Combat Sports,,Sports
90,Mushishi Zoku Shou: Suzu no Shizuku,91,8.59,1719,Mushishi Tokubetsu-hen,蟲師 続章,,Movie,1,Finished Airing,"May 16, 2015",,,"Aniplex,       Kodansha,       Delfi Sound","None found, add some",Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,47 min.,PG-13 - Teens 13 or older,"On a warm summer day, a boy heard the sound of bells ringing, as if in celebration, in the mountain near his home. Several years later in that same mountain, the mushishi Ginko encounters a strange girl with weeds growing out of her body. Soon after, Ginko coincidentally runs into the now grown-up boy Yoshiro on his way off the mountain. With Yoshiro's help, Ginko soon begins to uncover who this mysterious girl is and what happened to her.An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko's peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.[Written by MAL Rewrite]",,"Adult Cast, Historical, Iyashikei",
91,Kenpuu Denki Berserk,92,8.58,317,Berserk,剣風伝奇ベルセルク,Berserk,TV,25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,Wednesdays at 01,"VAP,       Hakusensha,       Nippon Television Network",Discotek Media,OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror",Seinen,23 min. per ep.,R+ - Mild Nudity,"Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Falcon dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever.[Written by MAL Rewrite]",,"Gore, Military",
92,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,93,8.58,153,JoJo's Bizarre Adventure Part 5,ジョジョの奇妙な冒険 黄金の風,JoJo's Bizarre Adventure,TV,39,Finished Airing,"Oct 6, 2018 to Jul 28, 2019",Fall 2018,Saturdays at 01,Warner Bros. Japan,VIZ Media,David Production,Manga,"Action, Adventure, Supernatural",Shounen,23 min. per ep.,R - 17+ (violence & profanity),"In the coastal city of Naples, corruption is teeming—the police blatantly conspire with outlaws, drugs run rampant around the youth, and the mafia governs the streets with an iron fist. However, various fateful encounters will soon occur.Enter Giorno Giovanna, a 15-year-old boy with an eccentric connection to the Joestar family, who makes a living out of part-time jobs and pickpocketing. Furthermore, he is gifted with the unexplained Stand ability to give and create life—growing plants from the ground and turning inanimate objects into live animals, an ability he has dubbed ""Gold Experience."" Fascinated by the might of local gangsters, Giorno has dreamed of rising up in their ranks and becoming a ""Gang-Star,"" a feat made possible by his encounter with Bruno Bucciarati, a member of the Passione gang with his own sense of justice.JoJo no Kimyou na Bouken: Ougon no Kaze follows the endeavors of Giorno after joining Bruno's team while working under Passione, fending off other gangsters and secretly plotting to overthrow their mysterious boss.[Written by MAL Rewrite]",Organized Crime,,
93,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,94,8.58,1251,,ジョジョの奇妙な冒険 ストーンオーシャン,JoJo's Bizarre Adventure,ONA,14,Finished Airing,"Dec 1, 2022",,,Warner Bros. Japan,"None found, add some",David Production,Manga,"Action, Adventure, Supernatural",Shounen,24 min. per ep.,R - 17+ (violence & profanity),"After finally escaping the confines of Green Dolphin Street Jail, Jolyne Kuujou—alongside her companions Ermes Costello and Emporio Alniño—pursues the villainous priest Enrico Pucci across the state of Florida. Jolyne's allies, Weather Report and Narciso Anasui, struggle to catch up with her in order to help bring an end to Pucci's plot. As both parties pursue the priest, they must battle against Pucci's band of enemy Stand users.While Jolyne's comrades fight for their lives, Pucci races to the Kennedy Space Center. There he hopes to enact his ultimate goal, one he believes God has entrusted to him. He aims to fulfill the will of the Joestars' blood enemy Dio Brando and—by robbing humanity of free will and making them slaves to fate—to create a world where all humans are blissfully happy.Unable to rely on the aid of her comatose father Joutarou, Jolyne must weaponize all she has learned in prison to confront Pucci in a climactic battle while the world itself hangs in the balance.[Written by MAL Rewrite]",,,
94,Kizumonogatari II: Nekketsu-hen,95,8.57,504,"Koyomi Vamp, Kizumonogatari Part 2",傷物語〈Ⅱ熱血篇〉,Kizumonogatari Part 2,Movie,1,Finished Airing,"Aug 19, 2016",,,"Aniplex,       Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",,1 hr. 4 min.,R - 17+ (violence & profanity),"No longer truly human, Koyomi Araragi decides to retrieve Kiss-shot Acerola-orion Heart-under-blade's severed body parts that were stolen by three powerful vampire hunters. Awaiting him are Dramaturgie, a vampire hunter who is a vampire himself; Episode, a half-vampire with the ability to transform into mist; and Guillotinecutter, a human priest who is the most dangerous of them all.Unbeknownst to Araragi, each minute he spends trying to retrieve Kiss-shot's limbs makes him less of a human and more of a vampire. Will he be able to keep his wish of becoming human once again by the end of his battles?[Written by MAL Rewrite]",Vampire,,
95,Natsume Yuujinchou Go,96,8.57,1276,"Natsume Yuujinchou Season 5, Natsume's Book of Friends Five",夏目友人帳 伍,Natsume's Book of Friends Season 5,TV,11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",Fall 2016,Wednesdays at 01,"TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha","None found, add some",Shuka,Manga,"Drama, Slice of Life, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"Blessed with eyes that are able to perceive the otherwise invisible youkai, Takashi Natsume hides his ability from his newfound family and friends to protect everyone's peaceful daily life. Nonetheless, Natsume never fails to show the same kindness to the benevolent youkai and happily returns their names by using the infamous Book of Friends he inherited from his late grandmother, Reiko.Meanwhile, the exorcist clan Matoba still wishes for Natsume to join their ranks due to his overwhelming gift. However, Natsume firmly rejects the clan's invitation since not all exorcists are as reasonable as his friend Shuuichi Natori, and many improperly and indiscriminately seal away every youkai in their way. Unsatisfied with Natsume's answer, Seiji Matoba blackmails Natsume into attending a grand gathering of powerful exorcist families. Natsume soon finds himself in the company of dangerous people and youkai alike. But even then, he continues to defy the exorcists' hard-handed methods and believes that peace between both worlds is possible.[Written by MAL Rewrite]",,"Iyashikei, Mythology",
96,Natsume Yuujinchou San,97,8.57,945,"Natsume Yuujinchou Three, Natsume Yuujinchou 3, Natsume Yujincho 3",夏目友人帳 参,Natsume's Book of Friends Season 3,TV,13,Finished Airing,"Jul 5, 2011 to Sep 27, 2011",Summer 2011,Tuesdays at 01,"Aniplex,       Sakura Create","NIS America, Inc.",Brain's Base,Manga,"Drama, Slice of Life, Supernatural",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,"Natsume Yuujinchou San follows Takashi Natsume, a boy who is able to see youkai. Natsume and his bodyguard Madara, nicknamed Nyanko-sensei, continue on their quest to release youkai from their contracts in the ""Book of Friends.""Natsume comes to terms with his ability to see youkai and stops thinking of it as a curse. As he spends more time with his human and youkai friends, he realizes how much he values them both and decides he doesn't have to choose between the spirit and human worlds to be happy.[Written by MAL Rewrite]",,"Iyashikei, Mythology",
97,Ookami Kodomo no Ame to Yuki,98,8.57,225,The Wolf Children Ame and Yuki,おおかみこどもの雨と雪,Wolf Children,Movie,1,Finished Airing,"Jul 21, 2012",,,"Madhouse,       VAP,       Dentsu,       Yomiuri Telecasting,       Kadokawa Shoten,       TOHO,       Hiroshima Television",Funimation,Studio Chizu,Original,"Award Winning, Fantasy, Slice of Life",,1 hr. 57 min.,PG-13 - Teens 13 or older,"Hana, a hard-working college student, falls in love with a mysterious man who attends one of her classes though he is not an actual student. As it turns out, he is not truly human either. On a full moon night, he transforms, revealing that he is the last werewolf alive. Despite this, Hana's love remains strong, and the two ultimately decide to start a family.Hana gives birth to two healthy children—Ame, born during rainfall, and Yuki, born during snowfall—both possessing the ability to turn into wolves, a trait inherited from their father. All too soon, however, the sudden death of her lover devastates Hana's life, leaving her to raise a peculiar family completely on her own. The stress of raising her wild-natured children in a densely populated city, all while keeping their identity a secret, culminates in a decision to move to the countryside, where she hopes Ame and Yuki can live a life free from the judgments of society. Wolf Children is the heartwarming story about the challenges of being a single mother in an unforgiving modern world.[Written by MAL Rewrite]",Childcare,,
98,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,99,8.57,1111,Tengen Toppa Gurren Lagann Movie 2,劇場版 天元突破グレンラガン 螺巌篇,Gurren Lagann The Movie,Movie,1,Finished Airing,"Apr 22, 2009",,,Aniplex,Aniplex of America,Gainax,Original,"Action, Sci-Fi",,2 hr. 5 min.,R+ - Mild Nudity,"Humans have enjoyed their lavish, peaceful, and prosperous lives for seven years since the day the almighty Spiral King was defeated—the day they reclaimed their homeland, Earth. However, the boon of this lifestyle leaves them unprepared when an unknown, hostile threat arises due to the ever-growing human population. This calamity is the Anti-Spiral—a fearsome enemy with unparalleled power. As the Spiral King's prognosis postulating the destruction of ""The Spiral's World"" begins to come true, the pieces are in place, and Team Dai-Gurren is ready. With his late brother's hope to see a better future for mankind, Simon—along with Nia Teppelin and the rest of the team—is determined to overthrow the mighty Anti-Spiral in order to revive humanity's lost hope.[Written by MAL Rewrite]",,"Mecha, Space, Super Power",
99,Shouwa Genroku Rakugo Shinjuu,100,8.56,825,Showa and Genroku Era Lover's Suicide Through Rakugo,昭和元禄落語心中,Showa Genroku Rakugo Shinju,TV,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016",Winter 2016,Saturdays at 02,"Starchild Records,       Mainichi Broadcasting System,       Kodansha,       DAX Production","None found, add some",Studio Deen,Manga,,Josei,26 min. per ep.,PG-13 - Teens 13 or older,"Yotarou is a former yakuza member fresh out of prison and fixated on just one thing: rather than return to a life of crime, the young man aspires to take to the stage of rakugo, a traditional Japanese form of comedic storytelling. Inspired during his incarceration by the performance of distinguished practitioner Yakumo Yuurakutei, he sets his mind on meeting the man who changed his life. After hearing Yotarou's desperate appeal for his mentorship, Yakumo is left with no choice but to accept his very first apprentice.As he eagerly begins his training, Yotarou meets Konatsu, an abrasive young woman who has been under Yakumo's care ever since her beloved father Sukeroku Yuurakutei, another prolific rakugo performer, passed away. Through her hidden passion, Yotarou is drawn to Sukeroku's unique style of rakugo despite learning under contrasting techniques. Upon seeing this, old memories and feelings return to Yakumo who reminisces about a much earlier time when he made a promise with his greatest rival.Shouwa Genroku Rakugo Shinjuu is a story set in both the past and present, depicting the art of rakugo, the relationships it creates, and the lives and hearts of those dedicated to keeping the unique form of storytelling alive.[Written by MAL Rewrite]",,"Historical, Love Polygon, Performing Arts",Drama
